,Żułowska
1122,Maksyma Rylskiego
1123,Maksymiliana i Aleksandra Gierymskich
1124,Maksymiliana i Stanisława Cerchów
1125,Maksymiliana Nowickiego
1126,Maksymiliana Rutkowskiego
1127,Malachitowa
1128,Malborska
1129,Malinowa
1130,Malownicza
1131,Malutka
1132,Malwowa
1133,Marcelego Nenckiego
1134,Marchołta
1135,Marcina Bielskiego
1136,Marcina Borelowskiego-Lelewela
1137,Marcowa
1138,Margaretek
1139,Marglowa
1140,Mariana Batki
1141,Mariana Czuchnowskiego
1142,Mariana Domagały
1143,Mariana Hemara
1144,Mariana Langiewicza
1145,Mariana Markowskiego
1146,Mariana Raciborskiego
1147,Mariana Smoluchowskiego
1148,Marii Dąbrowskiej
1149,Marii Grzegorzewskiej
1150,Marii Jaremy
1151,Marii Konopnickiej
1152,Marii Kownackiej
1153,Marii Skłodowskiej-Curie
1154,Marka Kublińskiego
1155,Martenowska
1156,Marynarska
1157,Marzanny
1158,Masarska
1159,Matematyków
1160,Mateusza Birkuta
1161,Matki Pauli Zofii Tajber
1162,Maurycego Beniowskiego
1163,Maurycego Mochnackiego
1164,Mazowiecka
1165,Mazurska
1166,Medalionów
1167,Medyczna
1168,Merkuriusza Polskiego
1169,Metalowców
1170,Miła
1171,Miśnieńska
1172,Miarowa
1173,Miętowa
1174,Michała Bałuckiego
1175,Michała Drzymały
1176,Michała Hutnika
1177,Michała i Stanisława Jaglarzów
1178,Michała Korpala
1179,Michała Ossowskiego
1180,Michała Siedleckiego
1181,Michała Stachowicza
1182,Miechowska
1183,Mieczników
1184,Mieczykowa
1185,Mieczysława Kamberskiego
1186,Mieczysława Kaplickiego
1187,Mieczysława Karłowicza
1188,Mieczysława Medweckiego
1189,Mieczysława Niedziałkowskiego
1190,Mieczysława Pszona
1191,Miedziana
1192,Miejscowa
1193,Mierniczych
1194,Mierzeja Wiślana
1195,Mieszczańska
1196,Mieszka I
1197,Migdałowa
1198,Mikołaja Gerlaha
1199,Mikołaja Jaskra
1200,Mikołaja Kopernika
1201,Mikołaja Reja
1202,Mikołaja Zyblikiewicza
1203,Mikołajska
1204,Miodowa
1205,Mirosława Dzielskiego
1206,Mirosława Krzyżańskiego
1207,Mirowska
1208,Mirtowa
1209,Misjonarska
1210,Mistrzejowicka
1211,Mlaskotów
1212,Mochnaniec
1213,Moczydło
1214,Modra
1215,Mogiłki
1216,Mogilska
1217,Mokra
1218,Monte Cassino
1219,Montelupich
1220,Monterska
1221,Morelowa
1222,Morgi
1223,Morsztynowska
1224,Morwowa
1225,Mosiężnicza
1226,Mostowa
1227,Moszyńskiego
1228,Motyla
